품목,학명,이미지1,이미지2,이미지3,이미지4,이미지5
갈치,Trichiurus lepturus,/img/seafood/1_hairtail_1.jpg,/img/seafood/1_hairtail_2.jpg,/img/seafood/1_hairtail_3.jpg,/img/seafood/1_hairtail_4.jpg,/img/seafood/1_hairtail_5.png
갯장어,Muraenesox cinereus,/img/seafood/2_conger_eel_1.png,/img/seafood/2_conger_eel_2.jpg,,,
고등어,Scomber japonicus,/img/seafood/3_mackerel.png,/img/seafood/3_chub_mackerel.png,/img/seafood/3_spanish_mackerel.png,/img/seafood/3_striped_mackerel.png,
꽁치,Cololabis saira,/img/seafood/4_saury_1.png,/img/seafood/4_saury_2.jpg,,,
넙치,Paralichthys olivaceus,/img/seafood/5_olive_flounder.png,/img/seafood/5_star_flounder.png,/img/seafood/5_saury_flounder.png,/img/seafood/5_spotted_flounder.png,/img/seafood/5_grass_flounder.png
농어,Lateolabrax japonicus,/img/seafood/6_sea_bass.png,/img/seafood/6_spotted_sea_bass.png,,,
눈볼대,Doederleinia berycoides,/img/seafood/7_red_eye.png,,,,
돌묵,Etrumeus teres,/img/seafood/8_round_herring.jpg,,,,
대구,Gadus macrocephalus,/img/seafood/9_cod.jpeg,,,,
도루묵,Arctoscopus japonicus,/img/seafood/10_sandfish.jpeg,,,,
말쥐치,Thamnaconus modestus,/img/seafood/11_filefish_1.jpeg,/img/seafood/11_filefish_2.jpeg,/img/seafood/11_filefish_3.jpeg,,
멸치,Engraulis japonicus,/img/seafood/12_anchovy.jpeg,,,,
명태,Theragra chalcogramma,/img/seafood/13_pollock.jpeg,,,,
몽치다래,Auxis rochei,/img/seafood/14_bullet_tuna_1.jpeg,/img/seafood/14_bullet_tuna_2.jpeg,,,
물가자미,Eopsetta grigorjewi,/img/seafood/15_flatfish.jpeg,,,,
기름가자미,Glyptocephalus stelleri,/img/seafood/16_oil_flatfish.jpeg,,,,
민어,Miichthys miiuy,/img/seafood/17_croaker.jpeg,,,,
방어,Seriola quinqueradiata,/img/seafood/18_yellowtail.jpeg,,,,
병어,Pampus argenteus,/img/seafood/19_silver_pomfret.jpeg,,,,
덕대,Pampus echinogaster,/img/seafood/20_white_pomfret.jpeg,,,,
보구치,Pennahia argentata,/img/seafood/21_white_croaker.jpeg,,,,
부세,Larimichthys crocea,/img/seafood/22_yellow_croaker.jpeg,,,,
붕장어,Conger myriaster,/img/seafood/23_conger_eel.jpeg,,,,
삼치,Scomberomorus niphonius,/img/seafood/24_spanish_mackerel.jpeg,,,,
옥돔,Branchiostegus japonicus,/img/seafood/25_red_tilefish.jpeg,,,,
임연수어,Pleurogrammus azonus,/img/seafood/26_atka_mackerel.jpeg,,,,
전갱이,Trachurus japonicus,/img/seafood/27_horse_mackerel.jpeg,,,,
전어,Konosirus punctatus,/img/seafood/28_gizzard_shad.jpeg,,,,
정어리,Sardinops sagax,/img/seafood/29_sardine.jpeg,,,,
준치,Ilisha elongata,/img/seafood/30_chinese_herring.jpeg,,,,
쏨뱅이,Sebastes inermis,/img/seafood/31_rockfish.jpeg,,,,
숭어,Mugil cephalus,/img/seafood/32_mullet.jpeg,,,,
쑤기미,Inimicus japonicus,/img/seafood/33_stonefish.jpeg,,,,
짱뚱어,Boleophthalmus pectinirostris,/img/seafood/34_mudskipper.jpeg,,,,
참돔,Pagrus major,/img/seafood/35_red_sea_bream.jpeg,,,,
참서대,Cynoglossus joyneri,/img/seafood/36_tongue_sole.jpeg,,,,
용서대,Cynoglossus abbreviatus,/img/seafood/37_short_tongue_sole.jpeg,,,,
참조기,Larimichthys polyactis,/img/seafood/38_yellow_croaker.jpeg,/img/seafood/38_yellow_croaker_2.jpeg,/img/seafood/38_yellow_croaker_3.jpeg,,
청어,Clupea pallasii,/img/seafood/39_herring.jpeg,/img/seafood/39_herring_2.jpeg,,,
쏨뱅이,Sebastes inermis,/img/seafood/40_rockfish_2.jpeg,,,,
왕새우,Penaeus chinensis,/img/seafood/41_king_shrimp.jpeg,/img/seafood/41_king_shrimp_2.jpeg,,,
홍어,Raja pulchra,/img/seafood/42_skate.jpeg,,,,
황아귀,Lophius litulon,/img/seafood/43_anglerfish.jpeg,/img/seafood/43_anglerfish_2.jpeg,,,
꽃게,Portunus trituberculatus,/img/seafood/44_blue_crab.jpeg,,,,
대게,Chionoecetes opilio,/img/seafood/45_snow_crab.jpeg,,,,
중국젓새우,Acetes chinensis,/img/seafood/46_chinese_shrimp.jpeg,/img/seafood/45_chinese_shrimp_2.jpeg,,,
